#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Nov 06 13:07:09 EST 2017,0,0,Assignment9Suite, , ,ArthurBridgeSceneControllerTestCase- BridgeSceneControllerFactoryMethodTest- CommandInterpreterControllerFactoryMethodTest- CommandInterpreterViewFactoryMethodTest- DelegatingBridgeSceneViewFactoryMethodTest- ExistingPaintListenerTestCase- GalahadBridgeSceneControllerTestCase- InheritingBridgeScenePainterFactoryMethodTest- LancelotBridgeSceneControllerTestCase- NewPaintListenerTestCase- ObservableBridgeScenePainterFactoryMethodTest- RobinBridgeSceneControllerTestCase- , ,
1,Wed Nov 08 20:47:18 EST 2017,0,0,Assignment9Suite, , ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,
2,Wed Nov 08 21:50:49 EST 2017,8,8,Assignment9Suite,ObservableBridgeScenePainterFactoryMethodTest+ , ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
3,Wed Nov 08 21:52:06 EST 2017,16,8,Assignment9Suite,DelegatingBridgeSceneViewFactoryMethodTest+ ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase+ ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
4,Wed Nov 08 21:59:25 EST 2017,16,0,Assignment9Suite,DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
5,Wed Nov 08 23:21:39 EST 2017,16,0,Assignment9Suite,DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
6,Thu Nov 09 00:29:15 EST 2017,16,0,Assignment9Suite,DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
7,Thu Nov 09 00:34:14 EST 2017,25,9,Assignment9Suite,BridgeSceneControllerFactoryMethodTest+ DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
8,Thu Nov 09 00:36:45 EST 2017,25,0,Assignment9Suite,BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
9,Thu Nov 09 00:42:04 EST 2017,25,0,Assignment9Suite,BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ObservableBridgeScenePainterFactoryMethodTest ,ExistingPaintListenerTestCase ,ArthurBridgeSceneControllerTestCase CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
